,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
333,0.4939,0.083,0.744,0.174,Fox News,"Benham Ben Taleblu: ""@POTUS hit it perfectly when he was talking about the German contradiction which is, here's a… https://t.co/bzLoljROdL",34
334,-0.4019,0.162,0.838,0.0,Fox News,Trump blames Obama administration after Russia indictments: 'Why didn't they do something about it?' https://t.co/iVUSyCFRb2,35
335,0.0,0.0,1.0,0.0,Fox News,".@JohnGaramendi on Trump, Putin meeting: ""I think the meeting should take place because it is a necessity for… https://t.co/CCCbl2cHdd",36
336,0.0,0.0,1.0,0.0,Fox News,Fox News Poll: Should President Trump meet with Russian President Vladimir Putin. https://t.co/C9RQuNcjli,37
337,0.2023,0.095,0.776,0.129,Fox News,Woman wanted for grand theft goes missing after her husband dies with lethal levels of Benadryl in his system https://t.co/srGoRMsUuT,38
338,0.4767,0.099,0.662,0.238,Fox News,Ken Starr on Supreme Court Nominee Kavanaugh: He 'Deserves Confirmation Overwhelmingly' https://t.co/5ZaQKKYYY2,39
339,-0.4939,0.296,0.704,0.0,Fox News,Haitian prime minister resigns after widespread protests over fuel price hike https://t.co/W70RwW7QJN,40
340,0.6486,0.0,0.725,0.275,Fox News,Mom of Waffle House shooting survivor gets wedding dress for waitress who saved son's life https://t.co/2YzczpVmzP,41
341,0.128,0.0,0.919,0.081,Fox News,MONDAY: Chris Wallace sits down for an exclusive interview with Russian President Vladimir Putin following the summ… https://t.co/li0ZrixvsG,42
342,-0.1689,0.07,0.93,0.0,Fox News,OPINION: We need to hear more about anti-Trump bias by the FBI and Mueller's team -- House hearing must not be the… https://t.co/beDMTGG0u6,43
343,0.4939,0.0,0.814,0.186,Fox News,"New York boy, 3, sings national anthem at baseball game in adorable video #ProudAmerican  https://t.co/juLD2qOhoA",44
344,0.0,0.0,1.0,0.0,Fox News,'Papa John' Schnatter claims he was ‘pushed’ to use n-word https://t.co/exI8jVHsEN,45
345,0.25,0.0,0.833,0.167,Fox News,Defense Sec. James Mattis met with Balkan defense chiefs ahead of the Russia summit; @JenGriffinFNC reports. https://t.co/LFPkh5kWIm,46
346,0.5719,0.0,0.709,0.291,Fox News,Mixed emotions in Balkans over Croatia's World Cup success https://t.co/HjViF2RVQ6,47
347,0.4767,0.093,0.683,0.224,Fox News,Ken Starr on Supreme Court Nominee Kavanaugh: He 'Deserves Confirmation Overwhelmingly' https://t.co/NqY8Z6wP2V https://t.co/qL9H1wT4BB,48
348,0.0,0.0,1.0,0.0,Fox News,President @realDonaldTrump and Russian President Vladimir Putin will meet in Helsinki on Monday; @kevincorke report… https://t.co/7pmrHY6uxs,49
349,0.25,0.148,0.625,0.227,Fox News,Trump supporters turn out in London a day after protests https://t.co/ntCJCB9Rhc,50
350,0.0,0.0,1.0,0.0,Fox News,"Waves caused by high tide envelops a man standing outside his house near the Arabian Sea in Mumbai, India. The man… https://t.co/fSEsyTkyy2",51
351,0.0,0.0,1.0,0.0,Fox News,"RT @EricShawnTV: We're on! One hour down, two to go @FoxNews. The @POTUS @realDonaldTrump and Vladimir Putin meeting. How should Putin be p…",52
352,0.0,0.0,1.0,0.0,Fox News,"On an all-new 'OBJECTified,' @KrisJenner sits down with @harveylevintmz to discuss her journey – and the events tha… https://t.co/H9ZQ9mTEMg",53
353,-0.7271,0.276,0.724,0.0,Fox News,".@RepDeSantis: “I think Strzok’s testimony really left a lot of American frustrated because he was not honest, not… https://t.co/ri0TqkQc2r",54
354,0.5574,0.0,0.765,0.235,Fox News,"Dan Springer: ""The Trump administration is making significant progress in reuniting immigrant children with their p… https://t.co/JLGQqd1OA9",55
355,0.1298,0.088,0.803,0.108,Fox News,".@HillaryClinton: ""I believe with all my heart that the test of any society is how we treat the most vulnerable amo… https://t.co/APZNWcuFNP",56
356,0.0,0.0,1.0,0.0,Fox News,"Following former FBI lawyer Lisa Page's closed-door session with lawmakers, @RepMarkMeadows said he believes Page i… https://t.co/4KJEwfbBGs",57
357,0.4588,0.0,0.789,0.211,Fox News,"Indiana patrol officer rescues, later adopts dog after finding it shot in face, covered in bleach https://t.co/SIK1oFjt6j",58
358,0.4019,0.0,0.847,0.153,Fox News,".@GillianHTurner: ""In a new 29-page indictment the DOJ released [Friday] the Russia special counsel draws a direct… https://t.co/Ewncn11fvB",59
359,0.25,0.148,0.625,0.227,Fox News,Trump supporters turn out in London a day after protests https://t.co/pUAsSbIZ9r,60
360,0.7184,0.0,0.636,0.364,Fox News,Taylor Swift jokes she's 'third wheel' after fan proposes to girlfriend in front of surprised pop star https://t.co/ZpbfI2962I,61
361,0.0,0.0,1.0,0.0,Fox News,".@KimStrassel: ""If the American people are to have a prayer of ever finding out what the FBI did in 2016 with regar… https://t.co/A2xoHPWUp0",62
362,0.1779,0.124,0.718,0.158,Fox News,".@marykissel on Vladimir Putin: ""How can you trust him when he's embarrassing President @realDonaldTrump in Syria,… https://t.co/gYfY77B6Wa",63
363,0.5556,0.0,0.685,0.315,Fox News,"Swing-vote senators signal potential support for Kavanaugh, despite well-funded left-wing pressure https://t.co/FFdEqRZhtC",64
364,0.0,0.0,1.0,0.0,Fox News,".@marykissel on Trump, Putin summit: ""I think @realDonaldTrump just wants to get along, frankly. And I think he'd l… https://t.co/GuZr6sQPaN",65
365,-0.6597,0.453,0.291,0.256,Fox News,'CSI' episode helps Florida police solve a fake murder https://t.co/Ykwc1Nz5UK,66
366,0.0,0.0,1.0,0.0,Fox News,".@wjmcgurn on Brett Kavanaugh: ""He's not the kind of guy who wants to be a celebrity judge that Anthony Kennedy enj… https://t.co/4tYIoEmAsa",67
367,-0.743,0.283,0.717,0.0,Fox News,OPINION: A Purple Heart for disgraced FBI agent Strzok? The very suggestion is an insult to the military https://t.co/6YoHkTbooI,68
368,0.0,0.0,1.0,0.0,Fox News,".@esaagar on Lisa Page testimony: ""She is willing to talk about more of the details of the origination of the Trump… https://t.co/zs6IHbe8rd",69
369,0.0,0.0,1.0,0.0,Fox News,".@esaagar on Lisa Page testimony: ""We are going to learn more especially if she is willing to speak publicly before… https://t.co/RJ5IpzmxrR",70
370,0.7845,0.0,0.743,0.257,Fox News,".@RepMarkMeadows: ""I can tell you Lisa Page is a very credible witness. She's doing her best to help us find the tr… https://t.co/b9ov1aDUnE",71
371,0.4574,0.0,0.85,0.15,Fox News,RT @EricShawnTV: A special 3 hour Saturday! I anchor starting at 4 pm EDT @FoxNews with @ArthelNeville. The #RussianHacking. What should @P…,72
372,0.25,0.0,0.88,0.12,Fox News,"Alina Polyakova: ""Putin is going to want to have an olive branch that he can extend to @POTUS to say, 'look I'm a t… https://t.co/hkwcWuI7hh",73
373,0.0,0.0,1.0,0.0,Fox News,"Alina Polyakova on Trump-Putin summit: ""[@POTUS] holds all the cards ahead of this meeting."" https://t.co/xdNPTqUqPM https://t.co/ZZ6sAq3RU2",74
374,0.0,0.0,1.0,0.0,Fox News,Fox News Poll: Robert Mueller's investigation of the Trump campaign and Russia. https://t.co/t6USAF0GQR,75
375,0.0,0.0,1.0,0.0,Fox News,"Whitney Boan: ""We have this indictment, and that doesn't mean that this is the last indictment."" https://t.co/JKYhIynNDL",76
376,-0.3182,0.119,0.881,0.0,Fox News,Serena Williams loses to Angelique Kerber in Wimbledon final; dedicates performance to 'all the moms out there' https://t.co/IF6eJoQwAY,77
377,0.2263,0.0,0.863,0.137,Fox News,Virtual reality developers aim to spark tech boom in the Deep South https://t.co/kGNnSFQqge,78
378,0.0,0.0,1.0,0.0,Fox News,".@kevincorke: ""A bit of breaking news - Fox News can confirm that @POTUS and President Vladimir Putin will conduct… https://t.co/bElJ5ZYF8Y",79
379,-0.2244,0.106,0.894,0.0,Fox News,TONIGHT: Don’t miss “Fox Report with Jon Scott” at 7p ET on Fox News Channel! @JonScottFNC https://t.co/cv5d2FWMxo,80
380,-0.6369,0.318,0.682,0.0,Fox News,Minnesota authorities investigating after teen fatally shot by deputies https://t.co/X3ti1h2Igh,81
381,-0.1027,0.085,0.915,0.0,Fox News,".@RepAndyBiggsAZ: ""Here's a guy with literally hundreds - maybe thousands - of text messages showing bias, and he's… https://t.co/FOAFhPkPIP",82
382,0.0,0.0,1.0,0.0,Fox News,"Ed Rollins on Trump/Putin summit: ""This is going to be a test of wills."" https://t.co/1yypK7TIPS",83
383,-0.296,0.196,0.804,0.0,Fox News,".@HeatherZuma: ""@POTUS's tax cuts are really fueling this economy."" https://t.co/Xh2Tn9TslR",84
384,0.0,0.0,1.0,0.0,Fox News,"In an interview on @foxandfriends, Democratic Congressman @RepTimRyan discussed his economic philosophy.… https://t.co/ThHI2JQ2uO",85
385,0.5994,0.0,0.738,0.262,Fox News,'Super Judgmental': @RepTimRyan Reacts to @NancyPelosi's Remark That He Is 'Inconsequential' https://t.co/OGOZgSryKu,86
386,0.6801,0.0,0.752,0.248,Fox News,".@RepDanKildee: ""Obviously, in retrospect, we all wish that there would've been much firmer and more bold action ag… https://t.co/JuLJHChChh",87
387,0.0,0.0,1.0,0.0,Fox News,".@gen_jackkeane: ""The NATO summit [was] largely successful."" https://t.co/EzYv3tZGUO",88
388,-0.4939,0.204,0.694,0.102,Fox News,"Woman admits to killing her father after finding his child pornography collection, including photos of herself https://t.co/1gXPSkV1WM",89
389,0.5267,0.0,0.825,0.175,Fox News,"'A Step in the Right Direction': @GiannoCaldwell Praises Trump DOJ After 1955 Emmett Till Case Reopened
https://t.co/LPzMLzaemb",90
390,0.5267,0.0,0.793,0.207,Fox News,"On ""Cavuto Live,"" @SenMikeLee slammed @HillaryClinton for her comments about Justice Brett Kavanaugh.… https://t.co/xOIYX4MvDy",91
391,0.128,0.1,0.776,0.123,Fox News,".@AlanDersh: ""There's no need for a special counsel to do the kind of investigation that led to this indictment.""… https://t.co/eXoogAkQj3",92
392,0.128,0.0,0.889,0.111,Fox News,Chris Wallace Announces Exclusive Interview With Vladimir Putin Monday After Trump Summit https://t.co/X4a3okDE8C,93
393,-0.0258,0.102,0.802,0.096,Fox News,"President @realDonaldTrump waves to protesters while playing golf at Turnberry golf club, in Scotland. A dozen demo… https://t.co/Q6ZyxoAApR",94
394,0.0,0.0,1.0,0.0,Fox News,"A newborn giraffe born at wildlife conservation center The Wilds in Cumberland, Ohio, was caught on camera attempti… https://t.co/Kc6xlMJJb1",95
395,-0.1027,0.104,0.811,0.086,Fox News,"JUST IN: Serena Williams loses in straight sets to Angelique Kerber in Wimbledon final, just 10 months after giving… https://t.co/f1mmnd8uOq",96
396,0.0,0.0,1.0,0.0,Fox News,.@RepDeSantis Blasts Strzok After House Hearing: 'Why Is He Still Getting a Paycheck?' https://t.co/6DCqTk5WIH https://t.co/cGIRNG7fUY,97
397,0.5574,0.0,0.816,0.184,Fox News,"In a speech yesterday, @HillaryClinton called the Supreme Court nomination of Brett Kavanaugh an obvious attempt to… https://t.co/UZIWX70jab",98
398,0.0,0.0,1.0,0.0,Fox News,Fox News Poll: @POTUS on Russia. https://t.co/GaVfBoFoPR,99
399,0.0,0.0,1.0,0.0,Fox News,"Billy Bush's wife, Sydney Davis, files for divorce after nearly 20 years of marriage: report https://t.co/QM3fisBQAk",100
400,0.4019,0.0,0.886,0.114,The New York Times,"In Opinion 

Op-Ed contributor Tina Rosenberg writes: ""New York City is the safest big city in the nation. Can it g… https://t.co/A6bvmJZ1yw",1
401,0.7906,0.0,0.731,0.269,The New York Times,"The suburban sprawl around Paris is home to the greatest pool of soccer talent in Europe, including 8 of France's 2… https://t.co/YxXT9eYwwm",2
402,0.0,0.0,1.0,0.0,The New York Times,"Garlic, anchovies, capers and tuna come together in this briny, tomato-less take on the classic pasta puttanesca… https://t.co/JBCOFweOsT",3
403,-0.0772,0.058,0.942,0.0,The New York Times,Angela Ponce will become the first transgender woman to compete in the Miss Universe pageant. But she is also on a… https://t.co/U1kqn4LArl,4
404,0.0,0.0,1.0,0.0,The New York Times,"Retail is an incredibly gender-delineated space. So what does a ""gender-free"" store look like?https://t.co/g9ALur4LC2",5
405,-0.4404,0.153,0.847,0.0,The New York Times,Why is there a life-size replica of a Harlem block in a Swedish forest? A photographer visited Potemkin villages ar… https://t.co/P4CvDG6PKT,6
406,-0.8555,0.512,0.488,0.0,The New York Times,Death Toll in Pakistan Suicide Bombing Rises to 128 https://t.co/t1RikLuffZ,7
407,0.5267,0.0,0.747,0.253,The New York Times,"Influential judge, conservative warrior, Washington insider: beyond the carefully shaped narrative of President Tru… https://t.co/yDJ4JDSFsa",8
408,0.0,0.0,1.0,0.0,The New York Times,This has been the Google Translate World Cup https://t.co/dZ3jxtttNI,9
409,-0.2263,0.174,0.826,0.0,The New York Times,Haiti’s Prime Minister Quits Amid Protests Over Fuel Plan https://t.co/PiUs4sW92S,10
410,0.296,0.0,0.901,0.099,The New York Times,"Our 52 Places traveler shares what she uses to make photos and videos, charge devices and organize all those travel… https://t.co/yYEy9F6nEi",11
411,0.0,0.0,1.0,0.0,The New York Times,The Ethicist: Should I Tell My Siblings About Mom’s Affair? https://t.co/piKcRXriDO,12
412,0.2263,0.0,0.881,0.119,The New York Times,Don’t be surprised if a TSA agent asks you to remove food from your carry-on https://t.co/QLWqf0cFrS,13
413,0.0772,0.274,0.421,0.305,The New York Times,Losing Yourself in a Good Book https://t.co/HS3q6QeVKL,14
414,-0.7506,0.478,0.522,0.0,The New York Times,Two Student Protesters Killed in Nicaragua Church Siege https://t.co/PHVzrKGd1c,15
415,-0.5267,0.323,0.538,0.14,The New York Times,news analysis: Forget a Fast Car. Creativity Is the New Midlife Crisis Cure. https://t.co/7nV0h9rpY2,16
416,0.0,0.0,1.0,0.0,The New York Times,Michael Avenatti thinks he can bring down the president — one cable-news hit at a time https://t.co/G3Gr75JHWD,17
417,-0.34,0.194,0.806,0.0,The New York Times,Judge Criticizes Trump Administration for Response to Family Reunification Order https://t.co/un3jhf6YVW,18
418,0.4404,0.0,0.854,0.146,The New York Times,"Some small studies suggest that spending time in nature, specifically in lush forests, might improve your health https://t.co/863ha9bvMN",19
419,-0.4767,0.358,0.438,0.204,The New York Times,"‘Downloadable Gun’ Clears a Legal Obstacle, and Activists Are Alarmed https://t.co/2HattY9FnZ",20
420,-0.3804,0.178,0.715,0.107,The New York Times,"In Opinion

Op-Ed columnist Maureen Dowd writes, “Trump has certainly made political discourse more crude and belli… https://t.co/TaFe8ohFuk",21
421,0.0,0.0,1.0,0.0,The New York Times,"In retrospect, Brett Kavanaugh's climb to a justice’s seat may seem calculated — from pursuing jobs that put him cl… https://t.co/GzluXCVkrb",22
422,0.0,0.0,1.0,0.0,The New York Times,"This Bastille Day, master the essentials of French cooking https://t.co/zBo5E07oLz https://t.co/P1H9XscD5f",23
423,-0.6249,0.255,0.745,0.0,The New York Times,"At a Kentucky restaurant taking on the opioid crisis, cooking is “100% therapy” https://t.co/uVMS7Dkv5P",24
424,0.0,0.0,1.0,0.0,The New York Times,RT @kzernike: “Pretend you’re a man” didn’t work.  https://t.co/1rFVZmJseo,25
425,0.7783,0.09,0.526,0.383,The New York Times,"Thanks to a legal settlement with the U.S. government, a Texas gun enthusiast and free speech advocate can resume p… https://t.co/uWjm9JhUBR",26
426,-0.2263,0.161,0.717,0.121,The New York Times,"8 black rhinos died in Kenya after being transported to a sanctuary meant to help preserve the endangered species,… https://t.co/Bf5CYaO3xA",27
427,-0.3818,0.133,0.867,0.0,The New York Times,"A severe drought in Ireland revealed the outline of a henge that may have been standing 5,000 years ago https://t.co/4kEBft70Om",28
428,-0.2263,0.106,0.894,0.0,The New York Times,"After 2 police officers in Georgia stopped a driver for speeding, they used a coin-tossing app while deciding wheth… https://t.co/R44hJwxMnl",29
429,0.0,0.0,1.0,0.0,The New York Times,The spectacle of a president bashing his nation’s news organizations on foreign soil — in scenes broadcast live aro… https://t.co/RLCROwQbGZ,30
430,-0.296,0.104,0.896,0.0,The New York Times,"Put away the suit, bring along the kids, show that tattoo. No longer conforming to stereotypes, female candidates a… https://t.co/VfcjFpUzrj",31
431,0.0,0.0,1.0,0.0,The New York Times,"In Opinion

Roberto Rey Agudo writes, ""To say that someone does not have an accent is as believable as saying that… https://t.co/OKkJ7atgA4",32
432,0.5574,0.0,0.847,0.153,The New York Times,"As Brett Kavanaugh prepares to persuade the Senate that he's suited for the Supreme Court, he takes on something at… https://t.co/caXFUP3yka",33
433,0.0,0.0,1.0,0.0,The New York Times,House hunting goes virtual https://t.co/L8wVu0x49v,34
434,0.296,0.0,0.864,0.136,The New York Times,Are you a full-time teacher with a second job to supplement your salary? Share your story.  https://t.co/eO0syfNMA2,35
435,0.0387,0.083,0.827,0.09,The New York Times,"“Without you I am like a coloring book with no color. I am the structure, but you are the color."" https://t.co/TXJ1qNpcEF",36
436,-0.2584,0.135,0.865,0.0,The New York Times,These women were told not to play soccer. Instead they formed a team. https://t.co/sQDp0x7wyw https://t.co/5EKZkFn866,37
437,-0.296,0.095,0.905,0.0,The New York Times,"Residents of one of Mexico’s rainiest regions often have no water to drink, so many hydrate with soda. The impact o… https://t.co/iQHVwZpXkT",38
438,0.8126,0.067,0.603,0.33,The New York Times,"When the 2 leaders sit down in Finland, Trump’s abiding desire to win over Vladimir Putin will loom as a powerful d… https://t.co/9xMAYVnWoS",39
439,-0.128,0.073,0.927,0.0,The New York Times,"Leading up to his weekend in Scotland, Trump has managed to repeatedly plug his Turnberry golf resort, alarming eth… https://t.co/ftr0hvb6cl",40
440,0.0,0.0,1.0,0.0,The New York Times,"""We’re trying to tell as many black stories as possible and resist one-dimensional representations"" https://t.co/BWHaZFySHp",41
441,0.0,0.0,1.0,0.0,The New York Times,"We chart America’s complicated history of infant feeding, starting with the spread of formula https://t.co/Z3W4t123ij",42
442,0.0,0.114,0.772,0.114,The New York Times,"For Isabella and thousands of other migrant parents hoping to be reunited with their children, part of the trauma h… https://t.co/bfQKyEd241",43
443,0.0,0.0,1.0,0.0,The New York Times,"Many Democrats are outmatched by Republicans when it comes to tech-savvy campaigning. A network of 4,500 tech worke… https://t.co/IvMOv5Wp08",44
444,-0.7579,0.228,0.772,0.0,The New York Times,"RT @nytopinion: After World War II, many Germans saw America as the guarantor of the liberal democratic order. It’s a shock to them that th…",45
445,0.5719,0.117,0.623,0.261,The New York Times,"Breaking News: Angelique Kerber won her first Wimbledon title by beating Serena Williams, who was seeking a Grand S… https://t.co/zyBj8neRLy",46
446,0.0,0.0,1.0,0.0,The New York Times,An ode to old maids everywhere https://t.co/dMWlTP7kmA,47
447,0.7579,0.0,0.735,0.265,The New York Times,"Trump's Supreme Court nominee has talked a lot about his mother, the public servant. Just as influential in his lif… https://t.co/Kd6nSbsFnt",48
448,-0.5574,0.167,0.833,0.0,The New York Times,"Nancy Barbato Sinatra, who has died at 101, remained Frank Sinatra's confidante for decades after their divorce in… https://t.co/4my80b7Iej",49
449,0.7314,0.142,0.549,0.309,The New York Times,"No sitting on the floor, no hugging your siblings, and it’s best not to cry: Migrant children describe life in dete… https://t.co/P44lXjU2dR",50
450,0.4199,0.0,0.883,0.117,The New York Times,After years of being told to put on a suit and recite their résumé — and smile! — women running for office are thro… https://t.co/wDfnVFGypy,51
451,0.0,0.0,1.0,0.0,The New York Times,France eliminated Belgium. Croatia eliminated England. We eliminated the ⚽️s from these World Cup semifinals photos… https://t.co/TxBoEKnA0l,52
452,0.0,0.0,1.0,0.0,The New York Times,"The day Donald Trump publicly asked Russia to find Hillary Clinton’s emails in 2016, Russia began to target her ser… https://t.co/aKEnltUVIh",53
453,0.0,0.0,1.0,0.0,The New York Times,"RT @karenyourish: Trump has spent 169 days of his presidency, or about 30% of his time in office, visiting Trump properties. He is spending…",54
454,-0.3919,0.175,0.726,0.1,The New York Times,"It was over in less than 20 seconds, but even casual followers of the monarchy were aghast  https://t.co/uIQwVwpJeB",55
455,0.4939,0.141,0.563,0.296,The New York Times,"Found: A 2,000-year-old sarcophagus that was perfectly sealed.
Inside: Unclear. https://t.co/Lm9p1Gy87I",56
456,-0.3612,0.238,0.762,0.0,The New York Times,"The new toll of student debt in 3 charts
https://t.co/bjepY6hUYb",57
457,-0.2411,0.141,0.859,0.0,The New York Times,Not sure what to do in NYC this weekend? We’ve got you. https://t.co/bAq3dvD9gl,58
458,-0.296,0.216,0.784,0.0,The New York Times,"It's the universal World Cup ""oh no"" https://t.co/Acy0y21md6 https://t.co/Y7PfyUNho0",59
459,-0.2023,0.13,0.87,0.0,The New York Times,Are you a grammar geek? Test your editing skills in our new quiz. https://t.co/jqqnQQOmiu,60
460,0.3818,0.0,0.843,0.157,The New York Times,"While the names of FIFA leaders may have changed, the lavish benefits have not https://t.co/OrVIJDKzJD",61
461,0.4404,0.0,0.854,0.146,The New York Times,"Some small studies suggest that spending time in nature, specifically in lush forests, might improve your health https://t.co/wfDmohEEtI",62
462,0.0,0.0,1.0,0.0,The New York Times,"This weekend, the World Cup final will be underway in Russia. Here's how the tournament ended up there. https://t.co/0DtzfJ51HF",63
463,0.4926,0.0,0.868,0.132,The New York Times,RT @katierogers: .@dougmillsnyt is one of the keenest observers of the human condition in journalism (and in the world! Trump says. totally…,64
464,0.4404,0.0,0.868,0.132,The New York Times,The World Cup is about to get 50 percent larger. Hope you took the time to savor this one. https://t.co/S1KXhahyQ6,65
465,0.0516,0.163,0.708,0.129,The New York Times,RT @nytpolitics: Democrats demanded that President Trump cancel his summit with Vladimir Putin after 12 Russian intelligence officers are i…,66
466,0.0,0.0,1.0,0.0,The New York Times,"John Liu Plots a Comeback Trail, Targeting a Renegade Democrat https://t.co/jVOJMq2k4L",67
467,0.0,0.0,1.0,0.0,The New York Times,"In Trump’s U.K. Visit, Some See ‘Infomercial’ for Money-Losing Golf Resort https://t.co/9il1esJ738",68
468,0.0,0.0,1.0,0.0,The New York Times,"Video review made its debut at this World Cup, and it had an immediate impact https://t.co/gW9hVFyi2j",69
469,0.0,0.0,1.0,0.0,The New York Times,First Words: Americans Think ‘Corruption’ Is Everywhere. Is That Why We Vote for It? https://t.co/xLD6P42SP1,70
470,0.0,0.0,1.0,0.0,The New York Times,"Sarcophagus Found. Contents Unknown. (‘No Guessing, Please.’) https://t.co/nGSstHV6ve",71
471,0.6486,0.121,0.47,0.409,The New York Times,"Glorious surprises seemed to lurk everywhere in Oslo, Norway https://t.co/HKAeEiagFg",72
472,0.8176,0.0,0.564,0.436,The New York Times,RT @tackettdc: In Ohio Special election a test for Democrats strength and Republican resolve  https://t.co/p4WXB4IjI8,73
473,0.4404,0.0,0.805,0.195,The New York Times,Phys Ed: Dog Walking Is Good for You. Provided You Do It. https://t.co/zuLXpClv7g,74
474,0.6369,0.0,0.802,0.198,The New York Times,RT @bxchen: Our writer with the best job in the world talks about the tech she uses https://t.co/VY6xJHYbOV,75
475,-0.6369,0.167,0.833,0.0,The New York Times,"RT @nytimesarts: The director of the ""Whitney"" documentary explains how he got her family to open up about her childhood abuse. https://t.c…",76
476,-0.1531,0.082,0.918,0.0,The New York Times,"RT @nytimesworld: “Having a vagina doesn’t make a woman,” said Angela Ponce, Spain's transgender competitor in the Miss Universe pageant. “…",77
477,0.0,0.0,1.0,0.0,The New York Times,"A ""Downton Abbey"" movie is coming https://t.co/81TKuwcdp6",78
478,0.0,0.0,1.0,0.0,The New York Times,"They named it Ingentia prima, meaning “the first giant.” “This new dinosaur changes our understanding of how dinosa… https://t.co/47cDpDv68K",79
479,0.0,0.0,1.0,0.0,The New York Times,"RT @nytpolitics: Russia's largest spy agency has been implicated in the downing of a civilian airliner, armed operations in Syria and now t…",80
480,-0.3182,0.168,0.733,0.099,The New York Times,A painting worth $1 million has turned up 4 decades after it was stolen from a Manhattan warehouse https://t.co/evf9RPx918,81
481,0.5106,0.0,0.837,0.163,The New York Times,"“I still can’t believe it worked.” Inside the Thai soccer team's rescue: floating stretchers, anti-anxiety pills an… https://t.co/E9RGJxfTSC",82
482,-0.34,0.118,0.882,0.0,The New York Times,"RT @nytimesworld: ""Pakistan is entering another period of prolonged political instability.” The arrest of former Prime Minister Nawaz Shari…",83
483,0.0,0.0,1.0,0.0,The New York Times,"The Getty Museum has added a rare illuminated Torah, dating to 1296, to its trove of manuscripts https://t.co/0WC7D9weVF",84
484,0.0,0.0,1.0,0.0,The New York Times,Astronomers traced a neutrino back to a distant galaxy. “We have found the first source of cosmic rays.” https://t.co/3PYngOHGLU,85
485,-0.5574,0.141,0.859,0.0,The New York Times,RT @NYTNational: The volunteers of The Águilas del Desierto - Eagles of the Desert - work to find bodies of immigrants who died while makin…,86
486,0.0,0.0,1.0,0.0,The New York Times,"Nancy Barbato Sinatra, an Idol’s First Wife and Lasting Confidante, Dies at 101 https://t.co/Q4xT0ZOktH",87
487,-0.296,0.099,0.901,0.0,The New York Times,"""I get discriminated against all the time. No one thinks I’m a CEO. I sit on a plane and tell somebody, 'Well, I ru… https://t.co/mjB9vBw1TZ",88
488,-0.5563,0.14,0.86,0.0,The New York Times,"“She so ugly I almost threw up. Ew.”
“I was just staring at your bbbooo.....i mean eyes.”
“Go back to the kitchen a… https://t.co/yRDgH7oKDf",89
489,0.0,0.0,1.0,0.0,The New York Times,"RT @NYTMetro: Designs include skulls, flaming hearts with swords piercing them, spiders, roses, jellyfish, an upside-down bat, and a unicor…",90
490,-0.3182,0.173,0.827,0.0,The New York Times,"Trump Walks in Front of Queen Elizabeth, Causing Social Media Frenzy https://t.co/22TQkfSosk",91
491,0.7579,0.056,0.662,0.282,The New York Times,No one will win the Nobel Prize in Literature this year. But you — along with the librarians of Sweden — can help c… https://t.co/rvMxGcauHt,92
492,0.0,0.0,1.0,0.0,The New York Times,"Wilbur Ross, the commerce secretary, said he would sell all of his remaining stock holdings after a government watc… https://t.co/Vnk0WRf50E",93
493,0.2023,0.0,0.859,0.141,The New York Times,"A Giant Iceberg Parked Offshore. It’s Stunning, but Villagers Hit the Road. https://t.co/OU7lo9ldy0",94
494,-0.5267,0.145,0.855,0.0,The New York Times,"In 21 trips Tom Price took as health secretary, 20 of them violated federal travel rules, an inspector general said https://t.co/22IkjNMj0U",95
495,-0.4019,0.162,0.838,0.0,The New York Times,RT @nytgraphics: How Russia hacked the D.N.C. and Hillary Clinton’s presidential campaign in 2016. https://t.co/6oO8BdTmDN,96
496,0.8555,0.0,0.455,0.545,The New York Times,"Modern Love: What boxing taught me about love
https://t.co/rat4wkU5a2",97
497,-0.8807,0.397,0.603,0.0,The New York Times,2 men pleaded guilty to manslaughter charges in the death of a fire chief in an explosion of a Bronx house that had… https://t.co/0cFXitFTVz,98
498,-0.0772,0.151,0.711,0.138,The New York Times,"Dan Coats, the director of national intelligence, said that the persistent danger of Russian cyberattacks today was… https://t.co/2LT5knHY2n",99
499,-0.6407,0.216,0.784,0.0,The New York Times,RT @nytopinion: The indictments against 12 Russian agents don't exonerate President Trump. On the contrary -- they should worry anyone work…,100
