,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
205,0.5574,0.0,0.783,0.217,CNN,"From the Supreme Court to Russian indictments, relive this week in politics https://t.co/fFYGdL1CJW https://t.co/rCRbcCSdDx",6
206,0.0772,0.0,0.909,0.091,CNN,Police departments across the country participate in the latest lip sync challenge https://t.co/R91Sp68qJU https://t.co/etNx934TMu,7
207,-0.0258,0.128,0.749,0.123,CNN,"It used to be mindless entertainment. Now, reality television is a dominant force in American politics. How did tha… https://t.co/inyX7hocjS",8
208,0.0,0.0,1.0,0.0,CNN,"Gay men, adulterers publicly flogged in Indonesia https://t.co/7iV8SqScm7 https://t.co/y2ApR0iSoR",9
209,-0.7845,0.365,0.635,0.0,CNN,Man posing as rideshare driver accused of serial rape in San Francisco https://t.co/a5ZsgQyyBB https://t.co/VshWiUq3cu,10
210,-0.7964,0.351,0.649,0.0,CNN,Haiti's Prime Minister resigns amid violent and deadly protests sparked by a proposed plan to raise fuel prices… https://t.co/sUgt4m3jvl,11
211,-0.1779,0.13,0.773,0.097,CNN,Los Angeles Mayor Eric Garcetti says the Trump administration created its own immigration problems by enacting a so… https://t.co/rx5m03cK0T,12
212,-0.4939,0.167,0.833,0.0,CNN,A UK court ruling could catapult this 30-year-old from Iraq back to a life of fear and persecution… https://t.co/tEoJMvS4B4,13
213,0.0,0.0,1.0,0.0,CNN,Woman survives 7 days after SUV plunges off cliff in Big Sur https://t.co/RDcbCUbk5f https://t.co/LkhIi8regP,14
214,0.0,0.0,1.0,0.0,CNN,"Microsoft wants regulation of facial recognition technology to limit ""abuse"" https://t.co/yrZtyqQjay https://t.co/culUmiMr8T",15
215,0.0,0.0,1.0,0.0,CNN,Have you ever noticed a large concrete arrow in your travels across America? They point the way to an intriguing us… https://t.co/e9ldIc2EyE,16
216,-0.1531,0.103,0.897,0.0,CNN,Russian President Vladimir Putin looms for President Trump after reality-bending visit with US allies… https://t.co/VBK1cCMRVK,17
217,-0.4588,0.214,0.786,0.0,CNN,"McDonald's pulls salads from 3,000 restaurants after parasite sickens dozens https://t.co/ZCsfrNPFHV https://t.co/GJbNdy1nf7",18
